Universe,Strategy,months,CAGR,Vol_annual,Sharpe,Sortino,MaxDD,Calmar,HitRate,Skew,Kurtosis,Turnover_monthly_mean,MSFE_portfolio_cal,OOS_R2_portfolio_cal,Corr_portfolio_cal,CEQ_g3,CEQ_g5,DSR_pvalue,JK_Memmel_p_ML_vs_1N,JK_Memmel_p_ML_vs_LS_Eq
A,EqualWeight_1N,192,0.13235378873784165,0.14006154159506712,0.9619403774997187,1.3718229041565908,-0.24829560914279303,0.5330492520378237,0.6666666666666666,-0.4297709747905605,1.0227765683341818,0.0,,,,0.10530499904417136,0.08568776361018464,,,
A,EqualWeight_LongShort,192,0.0062181608790250475,0.03155558439736443,0.2121898356033936,0.3186625078191121,-0.10121561821116176,0.06143479621941712,0.5052083333333334,-0.056508459723642296,1.9065888014525365,0.2902777777777778,,,,0.005202141905656987,0.004206386998997797,,,
A,ML_RF_longshort_0bps,192,0.013600467500064939,0.04186615604957796,0.34369920837604295,0.48756613802613874,-0.10250875315615304,0.13267615770671948,0.53125,-0.2764629620805733,1.5015642747032736,0.36073288690476196,0.000237509283643683,-0.6185533773798775,0.018867536384070474,0.011760202158436409,0.010007427136068796,5.577928639088903e-06,1.7237623062271723e-07,0.002570266721243497
ALL,EqualWeight_1N,192,0.09886828223333577,0.15126198467304905,0.7009957531296137,1.0563498073569766,-0.2543578439518458,0.38869759507811047,0.6041666666666666,-0.17048536054992608,1.8216382109402511,0.0,,,,0.07171372685491954,0.04883353884768982,,,
ALL,EqualWeight_LongShort,192,0.027579522286142133,0.04515932892511963,0.6254931634802238,1.1057614657062516,-0.10386383713141034,0.2655353686889888,0.5208333333333334,0.2668941335179094,0.5804112940889938,0.2225168617976522,,,,0.02518780402656634,0.023148439037599194,,,
ALL,ML_RF_longshort_0bps,192,0.018999457142769183,0.07098246826874689,0.30182568771561213,0.3360430960951161,-0.17790831654771644,0.10679353001282195,0.5260416666666666,-2.217492958067826,18.031344256580315,0.2979645093624961,0.0005225563533405329,-0.2415905337102795,0.0075094633358719284,0.013866566098680661,0.008828055297157002,0.0020098510373356415,0.0009600203502702076,2.4066438490955022e-06
B,EqualWeight_1N,192,0.06467892033572986,0.17171925414440614,0.45153185549353586,0.7326002442432222,-0.3109513073186351,0.20800337163224303,0.5572916666666666,-0.14527901471460003,0.740988666935956,0.0,,,,0.03330546008192303,0.003817957838011879,,,
B,EqualWeight_LongShort,192,0.0010391795589177466,0.03200139805471852,0.048432717921348574,0.06026188416240684,-0.10067278681744907,0.010322348191295239,0.5364583333333334,-0.5700045729960997,4.454730446127527,0.3187872023809523,,,,1.3780468888161717e-05,-0.0010103090085683804,,,
B,ML_RF_longshort_0bps,192,-0.011681521840162246,0.04265076755890221,-0.2539837422961027,-0.3030189431608796,-0.25414449009511453,-0.045964096391743106,0.5052083333333334,-0.8110797331895887,2.4495473542506643,0.40671281533446707,0.00015149666740256774,0.0007872515212248299,0.06486181022377246,-0.013561233516456456,-0.015380321489819961,0.9999299793124556,2.3147816996527126e-10,2.715147151555186e-08
C,EqualWeight_1N,192,0.08905584744490969,0.22644826772342147,0.48095814662754993,0.9174160112241727,-0.4702201372500595,0.1893918196820024,0.515625,2.7061548532057995,22.57980945187181,0.0,,,,0.03199391221886848,-0.019284905736069904,,,
C,EqualWeight_LongShort,192,0.033194916202812896,0.13765184992520582,0.30597726257541136,0.47543867752330854,-0.4663366098353472,0.07118230802109503,0.484375,-0.009713025186299944,0.7769515749733302,0.21744791666666666,,,,0.013696288546808738,-0.0052517432410226494,,,
C,ML_RF_longshort_0bps,192,0.05150170297967738,0.16030697823468223,0.39382731516761676,0.581306308405919,-0.35624060498899024,0.14456999639687076,0.515625,-0.09440106546022926,1.6770336888379482,0.2761467270680666,0.002388027351741486,-0.106565809759956,0.059430886922644886,0.024585775934696165,-0.001112551336038728,1.7394591811381588e-07,0.4175559695149882,0.07314930610980097
