universe,sheet,ticker
A,Wide_A,DIA
A,Wide_A,IJR
A,Wide_A,MDY
A,Wide_A,MTUM
A,Wide_A,ONEQ
A,Wide_A,QQQ
A,Wide_A,QUAL
A,Wide_A,RSP
A,Wide_A,SPY
A,Wide_A,USMV
A,Wide_A,VNQ
A,Wide_A,VTV
A,Wide_A,VUG
ALL,Panel_All,AdjClose
ALL,Panel_All,Ret
B,Wide_B,DAX
B,Wide_B,EUMV
B,Wide_B,EWD
B,Wide_B,EWG
B,Wide_B,EWI
B,Wide_B,EWL
B,Wide_B,EWN
B,Wide_B,EWP
B,Wide_B,EWQ
B,Wide_B,EWU
B,Wide_B,EZU
B,Wide_B,FEZ
B,Wide_B,IEUS
B,Wide_B,VGK
C,Wide_C,BITW
C,Wide_C,CPER
C,Wide_C,CRYPTO_EQ
C,Wide_C,DBC
C,Wide_C,GLD
C,Wide_C,ICLN
C,Wide_C,TAN
C,Wide_C,UNG
C,Wide_C,USO
